Word,Root,Affix,Tag,PoS_root,PoS_word,tag_splitted
саттыр,Сат,тыр,CAUS_1,VERB,VERB,"['CAUS', '1']"
узаткансың,Узат,кан-сың,PST_INDF_PS_2SG,VERB,VERB,"['PST', 'INDF', 'PS', '2SG']"
кемитиңиздер,кемит,иңиздер,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
санап жатасыз,Сана,п-жатасыз,PRES_2SGF,VERB,VERB,"['PRES', '2SGF']"
элчиңиз,элчи,ңиз,POSS_2SGF,NOUN,NOUN,"['POSS', '2SGF']"
балкаңыздан,балка,ңыздан,POSS_2SGF_ABL,NOUN,NOUN,"['POSS', '2SGF', 'ABL']"
кайрыламын,кайрыл,а-мын,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
сурадым,Сура,дым,PST_DEF_POSS_1SG,VERB,VERB,"['PST', 'DEF', 'POSS', '1SG']"
чыныларыңардын,чыны,ларыңардын,PL_POSS_2PL_GEN,NOUN,NOUN,"['PL', 'POSS', '2PL', 'GEN']"
актёрсуздар,актёр,суздар,PERS_2PLF,NOUN,NOUN,"['PERS', '2PLF']"
он төрттү,он төрт,тү,ACC,NUM,NUM,['ACC']
философторуңуздарды,философ,торуңуздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
юристтерибизден,юрист,терибизден,PL_POSS_1PL_GEN,NOUN,NOUN,"['PL', 'POSS', '1PL', 'GEN']"
айдар,Айда,р,FUT_INDF,VERB,VERB,"['FUT', 'INDF']"
санабайсың,Сана,ба-йсың,NEG_2SG,VERB,VERB,"['NEG', '2SG']"
арнамайынча,арна,майынча,ADVV_NEG,VERB,VERB,"['ADVV', 'NEG']"
мактабасмын,Макта,бас-мын,PCP_FUT_NEG_PERS_1SG,VERB,VERB,"['PCP', 'FUT', 'NEG', 'PERS', '1SG']"
авторлоруңузда,автор,лоруңузда,PL_POSS_2SGF_LOC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'LOC']"
жарандарымда,жаран,дарымда,PL_POSS_1SG_LOC,NOUN,NOUN,"['PL', 'POSS', '1SG', 'LOC']"
жапам,Жап,ам,FUT_DEF,VERB,VERB,"['FUT', 'DEF']"
сапаттасаң,сапатта,саң,COND_POSS_2SG,VERB,VERB,"['COND', 'POSS', '2SG']"
айымымдын,айым,ымдын,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
мезгилдерибиздин,мезгил,дерибиздин,PL_POSS_2PL_GEN,NOUN,NOUN,"['PL', 'POSS', '2PL', 'GEN']"
өрдөгүнүн,өрдөк,үнүн,POSS_3SG_GEN,NOUN,NOUN,"['POSS', '3SG', 'GEN']"
жездеңде,жезде,ңде,POSS_2SG_LOC,NOUN,NOUN,"['POSS', '2SG', 'LOC']"
сапатыбызда,сапат,ыбызда,POSS_1PL_LOC,NOUN,NOUN,"['POSS', '1PL', 'LOC']"
чымындарыңды,чымын,дарыңды,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
коймокбуз,Кой,мок-буз,INF_4_1PL,VERB,VERB,"['INF', '4', '1PL']"
саптап жатасыздар,сапта,п-жатасыздар,PRES_2PLF,VERB,VERB,"['PRES', '2PLF']"
юристтериңиздерге,юрист,териңиздерге,PL_POSS_2PLF_DAT,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'DAT']"
оюнуңан,оюн,уңан,POSS_2SG_ABL,NOUN,NOUN,"['POSS', '2SG', 'ABL']"
учушпайт,Уч,уш-па-й-т,NEG_FUT_DEF_3PL,VERB,VERB,"['NEG', 'FUT', 'DEF', '3PL']"
түртсөм,Түрт,сөм,COND_POSS_1SG,VERB,VERB,"['COND', 'POSS', '1SG']"
авторлоруңуздун,автор,лоруңуздун,PL_POSS_2SGF_GEN,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'GEN']"
ташыт,Ташы,т,CAUS_2,VERB,VERB,"['CAUS', '2']"
элүү төрттүн,элүү төрт,түн,GEN,NUM,NUM,['GEN']
эжелериңиздин,эже,лериңиздин,PL_POSS_2SGF_GEN,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'GEN']"
сапаттарынан,сапат,тарынан,PL_POSS_3PL_ABL,NOUN,NOUN,"['PL', 'POSS', '3PL', 'ABL']"
жолдошуңуздан,жолдош,уңуздан,POSS_2SGF_ABL,NOUN,NOUN,"['POSS', '2SGF', 'ABL']"
паспортторуңуздардын,паспорт,торуңуздардын,PL_POSS_2PLF_GEN,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'GEN']"
балкабыздын,балка,быздын,POSS_1PL_GEN,NOUN,NOUN,"['POSS', '1PL', 'GEN']"
жыгачта,жыгач,та,LOC,NOUN,NOUN,['LOC']
бүктөңүздөр,Бүктө,ңүздөр,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
окуса,Оку,са,COND,VERB,VERB,['COND']
көчүрсөңөр,Көчүр,сөң-өр,COND_POSS_2PL,VERB,VERB,"['COND', 'POSS', '2PL']"
автордон,автор,дон,ABL,NOUN,NOUN,['ABL']
коштошсун,Коштош,сун,JUS_PL,VERB,VERB,"['JUS', 'PL']"
чапсам,Чап,сам,COND_POSS_1SG,VERB,VERB,"['COND', 'POSS', '1SG']"
тарыхтарыңыздарды,тарых,тарыңыздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
сүзбөйбүз,Сүз,бө-йбүз,NEG_1PL,VERB,VERB,"['NEG', '1PL']"
канаттууларыма,канаттуу,ларыма,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
келинимин,келин,имин,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
чырагы,чырак,ы,POSS_3SG,NOUN,NOUN,"['POSS', '3SG']"
ырларынын,ыр,ларынын,PL_POSS_3PL_GEN,NOUN,NOUN,"['PL', 'POSS', '3PL', 'GEN']"
кырк алтынчымын,кырк алты,нчы-мын,NUM_ORD_1SG,NUM,NUM,"['NUM', 'ORD', '1SG']"
түртөбү,Түрт,өбү,HOR_SG,VERB,VERB,"['HOR', 'SG']"
досуңарда,дос,уңарда,POSS_2PL_LOC,NOUN,NOUN,"['POSS', '2PL', 'LOC']"
сексен сегизинчимин,сексен сегиз,инчи-мин,NUM_ORD_1SG,NUM,NUM,"['NUM', 'ORD', '1SG']"
шооладан,шоола,дан,ABL,NOUN,NOUN,['ABL']
адистериңиздерди,адис,териңиздерди,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
сапаттап жатасыздар,сапатта,п-жатасыздар,PRES_2PLF,VERB,VERB,"['PRES', '2PLF']"
айдачусуң,Айда,чу-суң,PST_ITER_2SG,VERB,VERB,"['PST', 'ITER', '2SG']"
угушту,Ук,уш-ту,RECP_PST_DEF_3SG,VERB,VERB,"['RECP', 'PST', 'DEF', '3SG']"
кемитпейсиз,кемит,пе-йсиз,NEG_2SGF,VERB,VERB,"['NEG', '2SGF']"
жасасын,Жаса,сын,JUS_SG,VERB,VERB,"['JUS', 'SG']"
самыныңызга,самын,ыңызга,POSS_2SGF_DAT,NOUN,NOUN,"['POSS', '2SGF', 'DAT']"
ресторанынан,ресторан,ынан,POSS_3PL_ABL,NOUN,NOUN,"['POSS', '3PL', 'ABL']"
мыйзамдарыбыздын,мыйзам,дарыбыздын,PL_POSS_1PL_GEN,NOUN,NOUN,"['PL', 'POSS', '1PL', 'GEN']"
текшерчү,Текшер,чү,PST_ITER,VERB,VERB,"['PST', 'ITER']"
конуптурбуз,Кон,уптур-буз,PST_EVID_1PL,VERB,VERB,"['PST', 'EVID', '1PL']"
суктанып жатасың,суктан,ып-жатасың,PRES_COND,VERB,VERB,"['PRES', 'COND']"
дептерлеримен,дептер,леримен,PL_POSS_1SG_ABL,NOUN,NOUN,"['PL', 'POSS', '1SG', 'ABL']"
туралы,Тур,алы,HOR_PL,VERB,VERB,"['HOR', 'PL']"
жаралууга,жаралуу,га,DAT,VERB,NOUN,['DAT']
билимимдин,билим,имдин,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
юристке,юрист,ке,DAT,NOUN,NOUN,['DAT']
бекитпейсиңер,бекит,пе-йсиңер,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
отурганы,Отур,ганы,ADVV_INT,VERB,VERB,"['ADVV', 'INT']"
жаздык,Жаз,дык,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
айдагым,Айда,гым,OPT_POSS_1SG,VERB,VERB,"['OPT', 'POSS', '1SG']"
суктандыңыздар,суктан,дыңыздар,PST_DEF_POSS_2PLF,VERB,VERB,"['PST', 'DEF', 'POSS', '2PLF']"
окууга,Оку,уу-га,DAT,VERB,NOUN,['DAT']
ойлонуптурсуздар,Ойлон,уптур-суздар,PST_EVID_2PLF,VERB,VERB,"['PST', 'EVID', '2PLF']"
талашайын,талаш,айын,HOR_SG,VERB,VERB,"['HOR', 'SG']"
коштошом,Коштош,о-м,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
түзбөс,Түз,бө-с ,FUT_INDF_NEG,VERB,VERB,"['FUT', 'INDF', 'NEG']"
текшерил,Текшер,ил,PASS,VERB,VERB,['PASS']
арначы,арна,чы,PREC_1,VERB,VERB,"['PREC', '1']"
ачмаксыздар,Ач,мак-сыздар,INF_4_2PLF,VERB,VERB,"['INF', '4', '2PLF']"
түдүңөр,түз,дү-ңөр,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
тиштегиче,Тиште,гиче,ADVV_SUC,VERB,VERB,"['ADVV', 'SUC']"
ичкенсиң,Ич,кен-сиң,PST_INDF_PS_2SG,VERB,VERB,"['PST', 'INDF', 'PS', '2SG']"
суроо,Сура,оо,INF_1,VERB,VERB,"['INF', '1']"
шыпырат,Шыпыр,а-т,FUT_DEF_3SG,VERB,VERB,"['FUT', 'DEF', '3SG']"
окумуштууларыңыздардын,окумуштуу,ларыңыздардын,PL_POSS_2PLF_GEN,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'GEN']"
адашуунун,Адашуу,нун,GEN,VERB,NOUN,['GEN']
уюмдарымды,уюм,дарымды,PL_POSS_1SG_ACC,NOUN,NOUN,"['PL', 'POSS', '1SG', 'ACC']"
чыгып жатса,Чык,ып-жатса,PRES_COND,VERB,VERB,"['PRES', 'COND']"
каарманга,каарман,га,DAT,NOUN,NOUN,['DAT']
мырзаларыңардан,мырза,ларыңардан,PL_POSS_2PL_ABL,NOUN,NOUN,"['PL', 'POSS', '2PL', 'ABL']"
жылмайсаң,Жылмай,саң,COND_POSS_2SG,VERB,VERB,"['COND', 'POSS', '2SG']"
комуздарыңыздарды,комуз,дарыңыздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
жерлериңиздер,жер,лериңиздер,PL_POSS_2PLF,NOUN,NOUN,"['PL', 'POSS', '2PLF']"
окумаксың,Оку,мак-сың,INF_4_2SG,VERB,VERB,"['INF', '4', '2SG']"
өстүрөрсүздөр,Өстүр,өр-сүздөр,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
суктанмак,суктан,мак,INF_4,VERB,VERB,"['INF', '4']"
ойчулдарынын,ойчул,дарынын,PL_POSS_3PL_GEN,NOUN,NOUN,"['PL', 'POSS', '3PL', 'GEN']"
өкмөттөрүңүздөрдөн,өкмөт,төрүңүздөрдөн,PL_POSS_2PLF_ABL,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ABL']"
жаттамаксыз,Жатта,мак-сыз,INF_4_2SGF,VERB,VERB,"['INF', '4', '2SGF']"
суктанып,суктан,ып,ADVV_ACC,VERB,VERB,"['ADVV', 'ACC']"
алтымыш алтыда,алтымыш алты,да,LOC,NUM,NUM,['LOC']
отуруп жатасың,Отур,уп-жатасың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
каттал,катта,л,PASS,VERB,VERB,['PASS']
караш,Кара,ш,INF_3,VERB,VERB,"['INF', '3']"
жолдошунан,жолдош,унан,POSS_3PL_ABL,NOUN,NOUN,"['POSS', '3PL', 'ABL']"
жыгачың,жыгач,ың,POSS_2SG,NOUN,NOUN,"['POSS', '2SG']"
коркуталы,Коркут,алы,HOR_PL,VERB,VERB,"['HOR', 'PL']"
ойлонгонмун,Ойлон,гон-мун,PST_INDF_1SG,VERB,VERB,"['PST', 'INDF', '1SG']"
акылмандарынын,акылман,дарынын,PL_POSS_3PL_GEN,NOUN,NOUN,"['PL', 'POSS', '3PL', 'GEN']"
тосуп,Тос,уп,ADVV_ACC,VERB,VERB,"['ADVV', 'ACC']"
сүйлөш,Сүйлө,ш,RECP,VERB,VERB,['RECP']
самынсыңар,самын,сыңар,PERS_2PL,NOUN,NOUN,"['PERS', '2PL']"
сурабайсың,Сура,ба-йсың,NEG_2SG,VERB,VERB,"['NEG', '2SG']"
таштасаңар,Ташта,саң-ар,COND_POSS_2PL,VERB,VERB,"['COND', 'POSS', '2PL']"
жомоктору,жомок,тору,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
жашамайынча,Жаша,майынча,ADVV_NEG,VERB,VERB,"['ADVV', 'NEG']"
жашады,Жаша,ды,PST_DEF,VERB,VERB,"['PST', 'DEF']"
кагаздарыбыз,кагаз,дарыбыз,PL_POSS_1PL,NOUN,NOUN,"['PL', 'POSS', '1PL']"
мактаса,Макта,са,COND,VERB,VERB,['COND']
бекитилди,Бекит,ил-ди,PASS_PST_DEF,VERB,VERB,"['PASS', 'PST', 'DEF']"
барайын,Бар,айын,HOR_SG,VERB,VERB,"['HOR', 'SG']"
айымымда,айым,ымда,POSS_1SG_LOC,NOUN,NOUN,"['POSS', '1SG', 'LOC']"
өстүрүптүрсүңөр,Өстүр,үптүр-сүңөр,PST_EVID_2PL,VERB,VERB,"['PST', 'EVID', '2PL']"
жазгансың,Жаз,ган-сың,PST_INDF_PS_2SG,VERB,VERB,"['PST', 'INDF', 'PS', '2SG']"
окумуштууңуздан,окумуштуу,ңуздан,POSS_2SGF_ABL,NOUN,NOUN,"['POSS', '2SGF', 'ABL']"
адашкын,адаш,кын,IMP_SG,VERB,VERB,"['IMP', 'SG']"
кармайлы,Карма,йлы,HOR_PL,VERB,VERB,"['HOR', 'PL']"
таарынарсыздар,таарын,а-р-сыздар,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
апалары,апа,лары,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
таарынчумун,таарын,чумун,PST_ITER_1SG,VERB,VERB,"['PST', 'ITER', '1SG']"
жазыптыр,Жаз,ыптыр,PST_EVID_3SG,VERB,VERB,"['PST', 'EVID', '3SG']"
учсаңыздар,Уч,саң-ыздар,COND_POSS_2PLF,VERB,VERB,"['COND', 'POSS', '2PLF']"
кошуналарды,кошуна,ларды,PL_ACC,NOUN,NOUN,"['PL', 'ACC']"
чыгармаларыңыздарда,чыгарма,ларыңыздарда,PL_POSS_2PLF_LOC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'LOC']"
энеге,эне,ге,DAT,NOUN,NOUN,['DAT']
өтүүчү,өт,үүчу,PCP_PR,VERB,VERB,"['PCP', 'PR']"
ичүүдө,Ич,үү-дө,LOC,VERB,NOUN,['LOC']
күлүптүрсүң,Күл,үптүр-сүң,PST_EVID_2SG,VERB,VERB,"['PST', 'EVID', '2SG']"
саткыча,Сат,кыча,ADVV_SUC,VERB,VERB,"['ADVV', 'SUC']"
эстеликтерибиз,эстелик,терибиз,PL_POSS_1PL,NOUN,NOUN,"['PL', 'POSS', '1PL']"
балкаларыңардан,балка,ларыңардан,PL_POSS_2PL_ABL,NOUN,NOUN,"['PL', 'POSS', '2PL', 'ABL']"
салбасмын,Сал,бас-мын,FUT_INDF_NEG_PERS_1SG,VERB,VERB,"['FUT', 'INDF', 'NEG', 'PERS', '1SG']"
жылмайыш,Жылмай,ыш,RECP,VERB,VERB,['RECP']
өстүрүп жатам,Өстүр,үп-жатам,PRES_POSS_1SG,VERB,VERB,"['PRES', 'POSS', '1SG']"
ишенмексиздер,Ишен,мек-сиздер,INF_4_2PLF,VERB,VERB,"['INF', '4', '2PLF']"
сүйлөбөйсүздөр,Сүйлө,бө-йсүздөр,NEG_2PLF,VERB,VERB,"['NEG', '2PLF']"
ишенмейин,Ишен,мейин,ADVV_NEG,VERB,VERB,"['ADVV', 'NEG']"
жамоонун,Жама,оо-нун,GEN,VERB,NOUN,['GEN']
токсон бешинчимин,токсон беш,инчи-мин,NUM_ORD_1SG,NUM,NUM,"['NUM', 'ORD', '1SG']"
жыйнап жатамын,Жыйна,п-жатамын,PRES_1SG,VERB,VERB,"['PRES', '1SG']"
сапаттабайсың,сапатта,ба-йсың,NEG_2SG,VERB,VERB,"['NEG', '2SG']"
жашабасмын,Жаша,бас-мын,PCP_FUT_NEG_PERS_1SG,VERB,VERB,"['PCP', 'FUT', 'NEG', 'PERS', '1SG']"
дарбызыңыздын,дарбыз,ыңыздын,POSS_2SGF_GEN,NOUN,NOUN,"['POSS', '2SGF', 'GEN']"
билимиңер,билим,иңер,POSS_2PL,NOUN,NOUN,"['POSS', '2PL']"
коштоштук,Коштош,тук,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
балыгын,балык,ын,POSS_3PL_ACC,NOUN,NOUN,"['POSS', '3PL', 'ACC']"
жаттоо,Жатта,оо,INF_1,VERB,VERB,"['INF', '1']"
күтүптүрсүз,Күт,үптүр-сүз,PST_EVID_2SGF,VERB,VERB,"['PST', 'EVID', '2SGF']"
сатам,Сат,а-м,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
ачуулануунун,ачуулануу,нун,GEN,VERB,NOUN,['GEN']
касапчыларым,касапчы,ларым,PL_POSS_1SG,NOUN,NOUN,"['PL', 'POSS', '1SG']"
акылмандары,акылман,дары,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
он жетиде,он жети,де,LOC,NUM,NUM,['LOC']
көчүрбөйбүз,Көчүр,бө-йбүз,NEG_1PL,VERB,VERB,"['NEG', '1PL']"
бекиттиңиз,Бекит,ти-ңиз,PST_DEF_POSS_2SGF,VERB,VERB,"['PST', 'DEF', 'POSS', '2SGF']"
буйруйбу,буйру,йбу,HOR_SG,VERB,VERB,"['HOR', 'SG']"
буйрубайсыздар,буйру,ба-йсыздар,NEG_2PLF,VERB,VERB,"['NEG', '2PLF']"
тазалабайсыз,Тазала,ба-йсыз,NEG_2SGF,VERB,VERB,"['NEG', '2SGF']"
түртөбүз,Түрт,өбүз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
самындарыңан,самын,дарыңан,PL_POSS_2SG_ABL,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ABL']"
чыгармаларыңыз,чыгарма,ларыңыз,PL_POSS_2SGF,NOUN,NOUN,"['PL', 'POSS', '2SGF']"
секиргенсиздер,Секир,ген-сиз-дер,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
турабыз,Тур,абыз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
арнабайт,арна,бай-т,NEG_FUT_DEF_3SG,VERB,VERB,"['NEG', 'FUT', 'DEF', '3SG']"
кемитебиз,кемит,ебиз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
адисиңердин,адис,иңердин,POSS_2PL_GEN,NOUN,NOUN,"['POSS', '2PL', 'GEN']"
жамарсыз,Жама,р-сыз,FUT_INDF_2SGF,VERB,VERB,"['FUT', 'INDF', '2SGF']"
жаралууда,жаралуу,да,LOC,VERB,NOUN,['LOC']
юристтериңизде,юрист,териңизде,PL_POSS_2SGF_LOC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'LOC']"
ойгонуптурбуз,Ойгон,уптур-буз,PST_EVID_1PL,VERB,VERB,"['PST', 'EVID', '1PL']"
термелчүдөй,термел,чидей,FUT_INDF,VERB,VERB,"['FUT', 'INDF']"
бара жатасыз,Бар,а-жат-а-сыз,PRES_2SGF,VERB,VERB,"['PRES', '2SGF']"
ишенүү,Ишен,үү,INF_2,VERB,VERB,"['INF', '2']"
бекитсең,Бекит,сең,COND_POSS_2SG,VERB,VERB,"['COND', 'POSS', '2SG']"
алтымыш төрттөн,алтымыш төрт,төн,ABL,NUM,NUM,['ABL']
үйрөнчүбүз,Үйрөн,чү-бүз,PST_ITER_1PL,VERB,VERB,"['PST', 'ITER', '1PL']"
угайын,Ук,айын,HOR_SG,VERB,VERB,"['HOR', 'SG']"
чабыптырбыз,Чап,ыптыр-быз,PST_EVID_1PL,VERB,VERB,"['PST', 'EVID', '1PL']"
бийлебейсиңер,Бийле,бе-йсиңер,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
өспүрүмдөрүңүн,өспүрүм,дөрүңүн,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
дептериңизге,дептер,иңизге,POSS_2SGF_DAT,NOUN,NOUN,"['POSS', '2SGF', 'DAT']"
жабып жаттың,Жап,ып-жаттың,PRES_PST_2SG,VERB,VERB,"['PRES', 'PST', '2SG']"
балкамын,балка,мын,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
мактаптырбыз,Макта,птыр-быз,PST_EVID_1PL,VERB,VERB,"['PST', 'EVID', '1PL']"
чапкыла,Чап,кыла,IMP_PL,VERB,VERB,"['IMP', 'PL']"
ойгонуптур,Ойгон,уптур,PST_EVID_3SG,VERB,VERB,"['PST', 'EVID', '3SG']"
бергенсиңер,Бер,ген-сиңер,PST_INDF_2PL,VERB,VERB,"['PST', 'INDF', '2PL']"
көрсө,Көр,сө,COND,VERB,VERB,['COND']
окубайт,Оку,ба-й-т,NEG_FUT_DEF_3SG,VERB,VERB,"['NEG', 'FUT', 'DEF', '3SG']"
аччумун,Ач,чу-мун,PST_ITER_1SG,VERB,VERB,"['PST', 'ITER', '1SG']"
ченет,Чене,т,CAUS_2,VERB,VERB,"['CAUS', '2']"
чуркагым,Чурка,гым,INF_5_POSS_1SG,VERB,VERB,"['INF', '5', 'POSS', '1SG']"
ташыйсыңар,Ташы,й-сыңар,FUT_DEF_2PL,VERB,VERB,"['FUT', 'DEF', '2PL']"
жыгачтарды,жыгач,тарды,PL_ACC,NOUN,NOUN,"['PL', 'ACC']"
жомокторуңар,жомок,торуңар,PL_POSS_2PL,NOUN,NOUN,"['PL', 'POSS', '2PL']"
жазыптырсыздар,Жаз,ыптыр-сыздар,PST_EVID_2PLF,VERB,VERB,"['PST', 'EVID', '2PLF']"
актёрлорунда,актёр,лорунда,PL_POSS_3SG_LOC,NOUN,NOUN,"['PL', 'POSS', '3SG', 'LOC']"
жыгачтарыңарды,жыгач,тарыңарды,PL_POSS_2PL_ACC,NOUN,NOUN,"['PL', 'POSS', '2PL', 'ACC']"
ташы,таш,ы,POSS_3SG,NOUN,NOUN,"['POSS', '3SG']"
отурбас,Отур,ба-с,PCP_FUT_NEG,VERB,VERB,"['PCP', 'FUT', 'NEG']"
студентиңерде,студент,иңерде,POSS_2PL_LOC,NOUN,NOUN,"['POSS', '2PL', 'LOC']"
адашсаңыз,адаш,саңыз,COND_POSS_2SGF,VERB,VERB,"['COND', 'POSS', '2SGF']"
арнагыча,арна,гыча,ADVV_SUC,VERB,VERB,"['ADVV', 'SUC']"
айдат,Айда,т,CAUS_2,VERB,VERB,"['CAUS', '2']"
ачкансыңар,Ач,кан-сыңар,PST_INDF_2PL,VERB,VERB,"['PST', 'INDF', '2PL']"
акылмандарыбызды,акылман,дарыбызды,PL_POSS_1PL_ACC,NOUN,NOUN,"['PL', 'POSS', '1PL', 'ACC']"
адистериңен,адис,териңен,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
дүкөнүмдө,дүкөн,үмдө,POSS_1SG_LOC,NOUN,NOUN,"['POSS', '1SG', 'LOC']"
иштейсиз,Иште,й-сиз,FUT_DEF_2SGF,VERB,VERB,"['FUT', 'DEF', '2SGF']"
таарынышпайт,таарын,ышпайт,NEG_FUT_DEF_3PL,VERB,VERB,"['NEG', 'FUT', 'DEF', '3PL']"
жамачу,Жама,чу,PST_ITER,VERB,VERB,"['PST', 'ITER']"
мекендерибизде,мекен,дерибизде,PL_POSS_1PL_LOC,NOUN,NOUN,"['PL', 'POSS', '1PL', 'LOC']"
секиришсин,Секир,ишсин,JUS_PL,VERB,VERB,"['JUS', 'PL']"
тарыхыңыздардан,тарых,ыңыздардан,POSS_2PLF_ABL,NOUN,NOUN,"['POSS', '2PLF', 'ABL']"
текшереби,Текшер,еби,HOR_SG,VERB,VERB,"['HOR', 'SG']"
текшерип жатам,Текшер,ип-жатам,PRES_POSS_1SG,VERB,VERB,"['PRES', 'POSS', '1SG']"
жасабайсыз,Жаса,ба-йсыз,NEG_2SGF,VERB,VERB,"['NEG', '2SGF']"
эстечүбүз,Эсте,чү-бүз,PST_ITER_1PL,VERB,VERB,"['PST', 'ITER', '1PL']"
мекениңизден,мекен,иңизден,POSS_2SGF_ABL,NOUN,NOUN,"['POSS', '2SGF', 'ABL']"
аткарчубуз,аткар,чу-буз,PST_ITER_1PL,VERB,VERB,"['PST', 'ITER', '1PL']"
отурбасмын,Отур,бас-мын,PCP_FUT_NEG_PERS_1SG,VERB,VERB,"['PCP', 'FUT', 'NEG', 'PERS', '1SG']"
текшересиңер,Текшер,е-сиңер,FUT_DEF_2PL,VERB,VERB,"['FUT', 'DEF', '2PL']"
рестораныңар,ресторан,ыңар,POSS_2PL,NOUN,NOUN,"['POSS', '2PL']"
адистериңерде,адис,териңерде,PL_POSS_2PL_LOC,NOUN,NOUN,"['PL', 'POSS', '2PL', 'LOC']"
каттадыңар,катта,дыңар,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
эстеликтерде,эстелик,терде,PL_LOC,NOUN,NOUN,"['PL', 'LOC']"
саптап жаттың,сапта,п-жаттың,PRES_PST_2SG,VERB,VERB,"['PRES', 'PST', '2SG']"
шыпырышпайт,Шыпыр,ыш-па-й-т,NEG_FUT_DEF_3PL,VERB,VERB,"['NEG', 'FUT', 'DEF', '3PL']"
иштесеңер,Иште,сең-ер,COND_POSS_2PL,VERB,VERB,"['COND', 'POSS', '2PL']"
мисалдарыңыздар,мисал,дарыңыздар,PL_POSS_2PLF,NOUN,NOUN,"['PL', 'POSS', '2PLF']"
неберемден,небере,мден,POSS_1SG_ABL,NOUN,NOUN,"['POSS', '1SG', 'ABL']"
ачпа,Ач,па,NEG,VERB,VERB,['NEG']
комузунда,комуз,унда,POSS_3PL_LOC,NOUN,NOUN,"['POSS', '3PL', 'LOC']"
созулчу,созул,чу,PREC_1,VERB,VERB,"['PREC', '1']"
пайызыңыздарда,пайыз,ыңыздарда,POSS_2PLF_LOC,NOUN,NOUN,"['POSS', '2PLF', 'LOC']"
отуз үчүнчүбүз,отуз үч,үнчү-бүз,NUM_ORD_1PL,NUM,NUM,"['NUM', 'ORD', '1PL']"
сиңдилериңерден,сиңди,лериңерден,PL_POSS_2PL_ABL,NOUN,NOUN,"['PL', 'POSS', '2PL', 'ABL']"
коркуткум,Коркут,кум,INF_5_POSS_1SG,VERB,VERB,"['INF', '5', 'POSS', '1SG']"
асманыңды,асман,ыңды,POSS_2SG_ACC,NOUN,NOUN,"['POSS', '2SG', 'ACC']"
